chroma_stft,spec_contrast,tonnetz,spectral_bandwidth,zero_crossing_rate,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,id
0.56186277,15.619272744590162,0.007206365209264896,2417.964070100743,0.41202208449720673,7669.6698236731845,-273.2716,-41.727802,-58.57947,15.133121,-13.486568,29.358715,-13.496598,5.859924,-16.1852,16.589695,-2.2950747,19.264608,-10.719764,12.63661,-7.151698,13.218854,-5.2325425,15.942187,-17.295542,10.6684,-6.1616263,9.076896,1.7871977,5.2995386,-7.3277736,8.858088,-5.78599,7.726968,-2.095238,6.1809087,-5.0417438,2.3862576,-1.8504175,1.7531087,-1.1454912,1.741725,-1.6786922,2.9538105,-1.459635,2.078898,id19052025001000
0.56215304,15.63268428813292,0.010555091743407144,2418.219378455487,0.4111190192443503,7681.392346398305,-275.83853,-41.07802,-58.103924,14.766227,-15.332637,29.116488,-13.600641,4.9129596,-15.980185,16.86053,-2.212317,20.08584,-11.884568,13.039071,-7.356037,12.854813,-5.117089,15.191183,-17.873919,11.001267,-5.252049,10.211735,1.8272485,4.9982834,-7.5480156,8.401221,-6.317083,9.109394,-3.5108957,5.721619,-4.863745,2.595474,-2.15213,1.8644061,-1.6208578,2.1988497,-1.3884628,3.1372657,-2.0344393,2.3026974,id19052025001002
0.561584,16.127216760221916,0.00583700058895989,2428.7431662229296,0.44403218114098836,7785.504860101744,-327.4361,-37.834957,-45.261703,13.980808,-13.904398,31.868227,-22.568861,10.894442,-10.285038,13.956526,-4.6372757,29.751984,-10.541622,13.505557,-3.8107684,9.656671,-6.1273313,13.995554,-15.2817955,9.268839,-5.6479125,17.609386,-1.3474265,2.864616,-5.250722,6.484544,-5.2436333,7.8858304,-7.363797,6.7018213,-3.4683113,8.019103,-3.024667,2.5786657,-4.359007,3.0786822,0.14196187,4.745599,-3.339744,4.586934,id19052025001003
0.5650269,15.522475142100678,0.0051091875475832,2408.660585823394,0.4123245497881356,7685.528667902542,-276.87335,-41.51313,-58.309376,14.410477,-16.412537,28.808384,-13.659846,4.521013,-14.716656,17.53748,-0.92142034,21.11097,-11.642106,12.445299,-9.098485,12.55969,-5.7667627,16.283518,-16.413845,9.613148,-6.7490234,8.64676,2.0851438,5.025639,-6.8268213,8.742916,-6.249572,9.024648,-3.1973195,6.2005396,-5.0011287,1.9048109,-1.3456199,2.1819065,-0.8544151,3.0772018,-1.6033722,2.154527,-2.5546339,2.5913105,id19052025001004
0.5730411,16.072910381045734,0.001022895326712024,2439.5700081721798,0.44688058035714284,7837.1015625,-325.45715,-37.12806,-43.913097,14.961715,-12.271309,33.117004,-21.699278,9.854109,-11.662125,13.720702,-5.2358985,29.082043,-10.785294,13.691044,-3.9805808,9.980815,-7.44136,12.064179,-15.128705,10.002275,-6.131764,16.18527,-1.1726866,3.0603192,-4.7831025,7.122832,-4.812049,8.054282,-7.1487255,6.254191,-3.1891572,7.678034,-3.5282512,2.7803204,-3.878134,2.6749952,-0.8552218,3.9188561,-3.2110078,5.446262,id19052025001005
0.5574546,15.579355237671223,0.01147249328581513,2407.6349488394717,0.4171061197916667,7722.0458984375,-276.99915,-43.9912,-58.181606,14.572954,-14.802667,29.18894,-13.348939,4.3975005,-15.510963,15.620744,-2.815572,19.770313,-12.339654,12.806399,-8.896674,12.832697,-3.5223792,15.688447,-16.78544,9.94855,-6.8672104,8.713362,1.991557,5.0498185,-7.120546,7.425038,-6.804875,8.82767,-3.640985,5.5698166,-4.7407856,1.8490851,-1.7531855,3.6495042,-1.2662506,2.8403265,-1.1019015,2.839628,-1.6864394,2.2637978,id19052025001010
0.5655756,15.616035516025772,0.0016101321804916412,2415.2174728713985,0.41508622602982953,7691.023947975852,-274.35367,-40.20079,-57.141933,15.086756,-15.67117,29.30631,-13.778692,3.7026665,-15.079833,16.782845,-1.6372756,20.22106,-12.487087,13.87431,-8.365753,12.445465,-3.995054,16.223751,-15.776742,10.302094,-6.394308,9.23326,1.6107403,4.8581357,-7.4507985,7.033188,-6.4769053,9.026247,-4.03113,5.289007,-3.655346,2.068038,-1.1561848,2.1830091,-1.8415786,2.6208916,-1.3164086,2.8609514,-2.0352907,1.4292245,id19052025001013
0.5762128,15.586867763282081,0.0027270412791369886,2414.3235396656346,0.4125286899717514,7677.4993379237285,-274.91306,-40.02776,-57.92693,14.665304,-15.7106285,29.147617,-13.227839,5.216022,-14.490444,15.699616,-3.341317,19.290207,-12.826953,13.152507,-8.737916,12.940064,-4.880528,15.230507,-16.742138,10.67617,-6.5736675,8.962146,1.6839293,4.3680744,-7.4010444,7.21023,-7.5954933,8.079259,-4.2438498,6.1528273,-4.2374597,2.1849637,-1.3468512,2.75395,-2.2861452,2.5551443,-1.541014,2.6368284,-1.3971412,1.6745536,id19052025001014
0.56683195,15.899234346040359,4.076887546392878e-05,2439.38020619669,0.44603382457386365,7824.872381036932,-328.5632,-37.372337,-45.01603,14.346466,-12.646488,32.45463,-22.092499,11.602631,-10.131286,13.661925,-5.7216754,27.179716,-10.766659,15.200974,-4.3046474,10.371412,-6.454096,12.437625,-15.05087,8.774325,-6.508087,17.030323,-0.45535204,3.5752501,-4.76716,6.973215,-4.9230366,6.445288,-6.7552915,7.045105,-3.4636176,7.9692945,-2.7708936,2.6692684,-3.867526,3.395809,-0.7852991,4.2843266,-3.6243799,3.9253685,id19052025001015
0.57622623,15.509041939606698,0.00655019516984507,2419.8000898968444,0.4132845603813559,7699.39751059322,-274.37997,-40.436035,-57.567924,14.916599,-15.323054,28.76845,-13.621582,4.7217674,-14.998386,16.96509,-2.3816407,20.538239,-12.44646,12.716803,-9.070862,12.374898,-4.031698,16.371012,-16.89869,9.6673565,-6.472908,8.816064,1.5235004,5.6913047,-7.061162,7.469088,-6.602905,9.465665,-3.3969278,5.584011,-3.986326,1.4131525,-1.8436782,3.4609976,-1.3023285,3.3132303,-1.0698903,2.4310305,-2.4406388,2.1108482,id19052025001016
