chroma_stft,spec_contrast,tonnetz,spectral_bandwidth,zero_crossing_rate,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,filename
0.61061627,18.53219810633814,0.007206365209264896,2418.986018283524,0.41202208449720673,7677.609440467877,-123.99695,-34.756874,-57.99461,14.69648,-14.773688,28.656872,-14.061074,5.665427,-16.252474,16.748972,-2.5163589,18.666706,-11.311439,12.714362,-7.152808,13.677223,-4.9465203,15.335927,-17.795527,11.274289,-5.4019685,9.697128,1.751827,5.076423,-7.3712463,9.350369,-5.5109434,8.605666,-2.033421,6.6804643,-4.5314293,2.7448475,-1.4096992,2.6538048,-0.34266764,2.9156058,-1.4239327,3.2065697,-0.57787514,4.1385756,e19052025001000
0.61541134,18.670946381396465,0.010555091743407144,2410.1389144807563,0.4111190192443503,7679.9932964777545,-127.658035,-35.7099,-58.228073,14.729476,-16.214626,28.378096,-14.149742,5.3365774,-15.683353,16.767233,-2.626936,19.859133,-11.635276,13.579416,-6.9628053,13.112358,-4.8119397,15.024989,-17.88231,11.114183,-5.5320454,10.062698,2.4712267,5.5580587,-6.947536,9.159115,-5.6649256,9.631879,-2.7779932,6.3448796,-4.6281924,3.2807825,-1.318355,2.8553548,-0.52155006,2.882297,-1.1800351,4.191553,-0.5393636,3.587543,e19052025001002
0.6305362,19.28213365531011,0.00583700058895989,2426.4599429449822,0.44403218114098836,7817.929857830669,-180.1604,-33.21395,-45.578068,14.070383,-13.96324,31.253412,-23.342121,10.232789,-10.836992,13.705538,-5.5163608,28.958416,-10.761403,13.858691,-3.242964,10.177604,-6.528233,13.361383,-15.55678,9.5933485,-5.281714,17.961803,-0.5279806,4.19785,-3.7706802,7.165546,-4.803598,8.36109,-6.7277546,7.729038,-2.011018,9.313395,-2.0941353,3.4654663,-3.7707875,3.4177215,0.60993916,5.4689565,-2.0736678,6.3939977,e19052025001003
0.6371475,18.686654729973366,0.0051091875475832,2411.5733723976364,0.4123245497881356,7708.278436175848,-128.2589,-35.66839,-58.194054,14.214441,-16.917473,28.303385,-13.766558,5.090979,-14.642654,16.87587,-2.3045077,19.755688,-12.452628,13.014225,-8.12201,13.382353,-4.9683294,15.648879,-17.185726,10.394361,-5.797722,9.668124,2.6853206,5.379106,-6.8622317,9.508342,-5.6348386,9.562279,-2.6967041,6.312866,-4.8115854,2.5240357,-0.92228115,2.7493453,-0.009196456,3.584912,-0.7951386,3.2443206,-1.3313969,3.4877877,e19052025001004
0.61861616,19.44764419970245,0.001022895326712024,2434.9729553717293,0.44688058035714284,7855.0048828125,-178.39961,-32.847454,-44.586205,14.616267,-13.088122,32.055523,-22.588076,9.565262,-11.859537,13.059576,-6.0216503,28.820736,-10.7499485,14.208014,-3.6253352,10.206829,-7.4483023,12.308679,-15.3190975,10.284734,-4.9873886,17.651487,-0.7245407,3.5546017,-3.520964,7.7472544,-4.608716,7.763848,-7.031156,7.068516,-2.2184746,8.912975,-2.3033626,3.9444113,-3.038471,3.1551907,-0.04262112,5.1469016,-1.7406299,7.3204603,e19052025001005
0.61663425,18.585753458773347,0.01147249328581513,2404.9087262223647,0.4171061197916667,7730.718994140625,-129.0749,-38.40752,-58.1996,14.57146,-15.6664715,28.689837,-14.541577,4.512883,-15.164887,16.425789,-2.2738574,19.74867,-12.765814,13.414038,-8.047096,13.489646,-3.9367743,15.028279,-17.636139,10.069542,-5.980899,9.835269,2.6522987,5.8984556,-6.2565713,8.5195,-5.8215914,10.210282,-2.5737085,6.690081,-3.9044726,2.656609,-0.8218568,4.5567966,-0.81066066,3.4718988,-0.6436075,3.4893446,-0.7779502,4.0140605,e19052025001010
0.63839835,18.622164079016045,0.0016101321804916412,2414.634852281189,0.41508622602982953,7700.2000288529825,-124.86643,-33.57101,-56.80117,14.550577,-16.363594,29.32865,-13.678245,4.1449504,-14.93339,16.545809,-2.340053,19.611753,-12.775341,14.225638,-8.252137,12.354198,-4.343656,15.4505825,-16.58557,10.341752,-6.09005,9.682031,2.4484804,5.4350066,-6.6369934,7.6605406,-6.6906767,9.015194,-3.5774424,6.331097,-3.0921118,2.264081,-0.96839625,3.1325142,-0.76825446,3.8508127,-0.1854352,3.5203185,-0.8496496,2.901472,e19052025001013
0.6393335,18.5362524659876,0.0027270412791369886,2415.20492976317,0.4125286899717514,7694.227108712924,-125.76067,-33.67604,-57.53883,14.40876,-16.495426,28.411987,-14.185207,4.825638,-14.32778,16.518326,-2.8297698,19.191525,-13.261344,13.203378,-8.222343,12.900264,-4.8361497,15.136486,-17.331331,10.672939,-6.1653023,9.760764,2.3057213,4.828794,-6.8897734,8.003185,-6.5994453,9.070219,-3.0792022,7.2372594,-3.4481463,2.3788776,-1.1441406,3.6295483,-1.0365018,3.5021372,-0.891905,3.16789,-0.75676095,2.4848356,e19052025001014
0.63253003,19.093680969619285,4.076887546392878e-05,2434.04889136483,0.44603382457386365,7827.502857555042,-179.82802,-31.599413,-45.077858,13.860743,-14.20169,31.41294,-22.819294,10.979215,-10.74121,12.897327,-6.787437,26.748018,-10.747803,15.573997,-3.7687438,10.607062,-6.819856,12.389887,-15.021402,9.270065,-5.206357,17.820555,-0.45561388,3.9285989,-4.49279,6.8606157,-4.9893603,6.758739,-6.3469057,8.212592,-1.8448914,9.45053,-1.914486,3.2743912,-2.763208,4.498546,-0.17575894,4.8535953,-2.3681345,6.088533,e19052025001015
0.63707554,18.63422209769997,0.00655019516984507,2411.9866679007514,0.4132845603813559,7700.979045286017,-126.50813,-35.331944,-57.844643,14.785461,-16.079313,28.605352,-13.892967,4.7191267,-14.829905,16.937632,-2.6575952,19.881353,-13.05602,13.180355,-8.4592285,12.714317,-4.2803154,15.738469,-16.740631,10.339783,-6.1009736,9.124062,1.9563895,6.031947,-6.2728443,8.731965,-5.6023474,10.483742,-2.6394148,6.139051,-3.5543585,2.2639704,-0.84074825,4.3764496,-0.0002142265,4.1887226,-0.35916185,3.2226884,-1.1942974,3.6908972,e19052025001016
0.6412704,18.72673319340309,0.008490190347613948,2414.959270164279,0.4111024673375706,7700.0666214247885,-126.02556,-33.970997,-57.460873,14.189494,-17.131123,28.553932,-14.262001,4.1466928,-14.783976,17.482605,-2.5234692,19.5064,-12.675235,14.243594,-8.616897,13.09795,-3.425875,15.65744,-16.847486,9.989697,-6.343994,9.323039,1.8426379,6.2599616,-6.059544,8.769288,-6.1234035,9.585147,-2.8688772,5.713533,-3.439011,1.672741,-1.717882,3.2602232,-1.260469,3.6120317,-0.6179939,3.2542746,-1.1718651,3.9330492,e19052025001018
0.6317236,19.176759577978558,0.0020593282340635997,2430.422826105699,0.4420434984110169,7799.095024496822,-178.21915,-30.449286,-44.905758,13.879317,-14.73224,31.564646,-23.153877,10.283932,-9.83643,13.90933,-5.9235344,27.594759,-10.68869,15.3334,-3.9713936,10.097586,-6.873765,12.382161,-14.467856,10.18275,-4.2098045,17.02278,-0.5595976,5.053101,-3.7683709,7.010438,-5.302405,7.0561814,-6.6592526,7.9567294,-2.7320914,9.184273,-1.3255738,4.020585,-2.571884,4.291067,-1.2488248,4.3686604,-1.8404503,6.28534,e19052025001023
0.6216098,19.22164685287716,0.0010551638614401588,2423.3464034817753,0.44590657552083335,7811.64794921875,-179.5029,-32.09941,-44.520355,14.547325,-13.860099,32.05128,-23.117176,11.263954,-9.44423,12.903469,-5.995699,27.865631,-10.625335,14.884942,-3.5240767,10.056001,-6.5314794,13.334409,-13.9614315,9.823865,-4.9924827,16.607817,-0.78104454,4.2132764,-4.165296,6.366074,-5.0904574,7.088971,-6.6125083,8.023462,-2.4549527,9.289954,-1.6992561,3.8894186,-2.3752809,5.471537,-0.3410067,5.1204853,-1.3513333,6.423203,e19052025001025
0.6470985,18.69164487738798,0.006967146501411316,2421.173052998123,0.41437273394337015,7733.513089174724,-122.24808,-34.344296,-56.03616,14.797702,-16.197912,28.285421,-13.7172,5.7470407,-13.676928,17.357935,-2.121028,19.834377,-12.562959,13.55516,-7.813232,12.966098,-3.8205378,16.3882,-16.99929,9.678477,-6.3447075,9.583949,2.5208051,5.512337,-6.4420424,8.755478,-5.332523,9.830769,-2.4161692,6.5553293,-3.107871,1.9476409,-1.1103146,4.6793437,-0.019436557,3.1982746,-0.53628457,3.7140055,-0.5750037,3.5608962,e19052025001030
